-- Insert data into 'class' table
INSERT INTO class (class_id, class_name, year, class_type) VALUES
('C001', 'Ibnu Sina', 1, 'Regular'),
('C002', 'Ibnu Sina', 2, 'Regular'),
('C003', 'Ibnu Sina', 3, 'Regular'),
('C004', 'Ibnu Sina', 4, 'Regular'),
('C005', 'Ibnu Sina', 5, 'Regular'),
('C006', 'Ibnu Khaldun', 1, 'Regular'),
('C007', 'Ibnu Khaldun', 2, 'Regular'),
('C008', 'Ibnu Khaldun', 3, 'Regular'),
('C009', 'Ibnu Khaldun', 4, 'Regular'),
('C010', 'Ibnu Khaldun', 5, 'Regular'),
('C011', 'Ibnu Batutah', 1, 'Regular'),
('C012', 'Ibnu Batutah', 2, 'Regular'),
('C013', 'Ibnu Batutah', 3, 'Regular'),
('C014', 'Ibnu Batutah', 4, 'Regular'),
('C015', 'Ibnu Batutah', 5, 'Regular'),
('C016', 'Ibnu Rusydi', 1, 'Regular'),
('C017', 'Ibnu Rusydi', 2, 'Regular'),
('C018', 'Ibnu Rusydi', 3, 'Regular'),
('C019', 'Ibnu Rusydi', 4, 'Regular'),
('C020', 'Ibnu Rusydi', 5, 'Regular');


-- Insert data into 'staff' table
INSERT INTO staff (staff_id, staff_name, staff_username, staff_pass, staff_type) VALUES
('S001', 'Ahmad', 'ahmad', '200820e3227815ed1756a6b531e7e0d2', 'mudir'),
('S002', 'Bakar', 'bakar', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S003', 'Cikgu', 'cikgu', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S004', 'Daud', 'daud', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S005', 'Ehsan', 'ehsan', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S006', 'Fadil', 'fadil', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S007', 'Ghazi', 'ghazi', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S008', 'Hadi', 'hadi', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S009', 'Imran', 'imran', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S010', 'Jamil', 'jamil', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S011', 'Kadir', 'kadir', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S012', 'Latif', 'latif', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S013', 'Musa', 'musa', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S014', 'Nasir', 'nasir', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S015', 'Othman', 'othman', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S016', 'Paiman', 'paiman', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S017', 'Qadir', 'qadir', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S018', 'Rahim', 'rahim', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S019', 'Syed', 'syed', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S020', 'Tariq', 'tariq', '200820e3227815ed1756a6b531e7e0d2', 'ustaz'),
('S021', 'Umar', 'umar', '200820e3227815ed1756a6b531e7e0d2', 'ustaz');



-- Insert data into 'student' table
INSERT INTO student (student_id, student_name, student_username, student_pass, class_id) VALUES
('ST001', 'Ahmad Firdaus', 'ahmadfirdaus', '200820e3227815ed1756a6b531e7e0d2', 'C001'),
('ST002', 'Mohd Haziq', 'mohdhaziq', '200820e3227815ed1756a6b531e7e0d2', 'C001'),
('ST003', 'Hafiz Azman', 'hafizazman', '200820e3227815ed1756a6b531e7e0d2', 'C001'),
('ST004', 'Ali Rahman', 'alirahman', '200820e3227815ed1756a6b531e7e0d2', 'C001'),
('ST005', 'Ismail Hakim', 'ismailhakim', '200820e3227815ed1756a6b531e7e0d2', 'C001'),
('ST006', 'Salim Anuar', 'salimanuar', '200820e3227815ed1756a6b531e7e0d2', 'C002'),
('ST007', 'Zaid Nordin', 'zaidnordin', '200820e3227815ed1756a6b531e7e0d2', 'C002'),
('ST008', 'Farid Rashid', 'faridrashid', '200820e3227815ed1756a6b531e7e0d2', 'C002'),
('ST009', 'Malik Hassan', 'c', '200820e3227815ed1756a6b531e7e0d2', 'C002'),
('ST010', 'Rafi Bakar', 'rafibakar', '200820e3227815ed1756a6b531e7e0d2', 'C002'),
('ST011', 'Jamal Nasir', 'jamalnasir', '200820e3227815ed1756a6b531e7e0d2', 'C003'),
('ST012', 'Nabil Fikri', 'nabilfikri', '200820e3227815ed1756a6b531e7e0d2', 'C003'),
('ST013', 'Omar Shafie', 'omarshafie', '200820e3227815ed1756a6b531e7e0d2', 'C003'),
('ST014', 'Qasim Iqbal', 'qasimiqbal', '200820e3227815ed1756a6b531e7e0d2', 'C003'),
('ST015', 'Rashid Faisal', 'rashidfaisal', '200820e3227815ed1756a6b531e7e0d2', 'C003'),
('ST016', 'Sameer Rahman', 'sameerrahman', '200820e3227815ed1756a6b531e7e0d2', 'C004'),
('ST017', 'Talib Ali', 'talibali', '200820e3227815ed1756a6b531e7e0d2', 'C004'),
('ST018', 'Usman Syed', 'usmansyed', '200820e3227815ed1756a6b531e7e0d2', 'C004'),
('ST019', 'Vahid Karim', 'vahidkarim', '200820e3227815ed1756a6b531e7e0d2', 'C004'),
('ST020', 'Waleed Ahmad', 'waleedahmad', '200820e3227815ed1756a6b531e7e0d2', 'C004'),
('ST021', 'Yasir Arif', 'yasirarif', '200820e3227815ed1756a6b531e7e0d2', 'C005'),
('ST022', 'Zahir Zaman', 'zahirzaman', '200820e3227815ed1756a6b531e7e0d2', 'C005'),
('ST023', 'Adnan Hakim', 'adnanhakim', '200820e3227815ed1756a6b531e7e0d2', 'C005'),
('ST024', 'Bashir Faiz', 'bashirfaiz', '200820e3227815ed1756a6b531e7e0d2', 'C005'),
('ST025', 'Fahad Jamal', 'fahadjamal', '200820e3227815ed1756a6b531e7e0d2', 'C005'),
('ST026', 'Ghassan Tariq', 'ghassantariq', '200820e3227815ed1756a6b531e7e0d2', 'C006'),
('ST027', 'Hamza Razi', 'hamzarazi', '200820e3227815ed1756a6b531e7e0d2', 'C006'),
('ST028', 'Ibrahim Yusof', 'ibrahimyusof', '200820e3227815ed1756a6b531e7e0d2', 'C006'),
('ST029', 'Jabir Aiman', 'jabiraiman', '200820e3227815ed1756a6b531e7e0d2', 'C006'),
('ST030', 'Karim Aiman', 'karimaiman', '200820e3227815ed1756a6b531e7e0d2', 'C006'),
('ST031', 'Latif Malik', 'latifmalik', '200820e3227815ed1756a6b531e7e0d2', 'C007'),
('ST032', 'Mansur Idris', 'mansuridris', '200820e3227815ed1756a6b531e7e0d2', 'C007'),
('ST033', 'Nawfal Omar', 'nawfalomar', '200820e3227815ed1756a6b531e7e0d2', 'C007'),
('ST034', 'Othman Rafi', 'othmanrafi', '200820e3227815ed1756a6b531e7e0d2', 'C007'),
('ST035', 'Qamar Ahmad', 'qamarahmad', '200820e3227815ed1756a6b531e7e0d2', 'C007'),
('ST036', 'Razi Imran', 'raziimran', '200820e3227815ed1756a6b531e7e0d2', 'C008'),
('ST037', 'Sadiq Latif', 'sadiqlatif', '200820e3227815ed1756a6b531e7e0d2', 'C008'),
('ST038', 'Talal Musa', 'talalmusa', '200820e3227815ed1756a6b531e7e0d2', 'C008'),
('ST039', 'Umar Syed', 'umarsyed', '200820e3227815ed1756a6b531e7e0d2', 'C008'),
('ST040', 'Wahid Anwar', 'wahidanwar', '200820e3227815ed1756a6b531e7e0d2', 'C008'),
('ST041', 'Yusuf Jamal', 'yusufjamal', '200820e3227815ed1756a6b531e7e0d2', 'C009'),
('ST042', 'Zubair Rahim', 'zubairrahim', '200820e3227815ed1756a6b531e7e0d2', 'C009'),
('ST043', 'Amir Fikri', 'amirfikri', '200820e3227815ed1756a6b531e7e0d2', 'C009'),
('ST044', 'Basim Khalid', 'basimkhalid', '200820e3227815ed1756a6b531e7e0d2', 'C009'),
('ST045', 'Daoud Aziz', 'daoudaziz', '200820e3227815ed1756a6b531e7e0d2', 'C009'),
('ST046', 'Faisal Bakar', 'faisalbakar', '200820e3227815ed1756a6b531e7e0d2', 'C010'),
('ST047', 'Ghani Nasir', 'ghaninasir', '200820e3227815ed1756a6b531e7e0d2', 'C010'),
('ST048', 'Hassan Adib', 'hassanadib', '200820e3227815ed1756a6b531e7e0d2', 'C010'),
('ST049', 'Idris Karim', 'idriskarim', '200820e3227815ed1756a6b531e7e0d2', 'C010'),
('ST050', 'Khalid Razi', 'khalidrazi', '200820e3227815ed1756a6b531e7e0d2', 'C010'),
('ST051', 'Lutfi Qasim', 'lutfiqasim', '200820e3227815ed1756a6b531e7e0d2', 'C011'),
('ST052', 'Mahdi Latif', 'mahdilatif', '200820e3227815ed1756a6b531e7e0d2', 'C011'),
('ST053', 'Naim Rahman', 'naimrahman', '200820e3227815ed1756a6b531e7e0d2', 'C011'),
('ST054', 'Osman Hakim', 'osmanhakim', '200820e3227815ed1756a6b531e7e0d2', 'C011'),
('ST055', 'Qasim Arif', 'qasimarif', '200820e3227815ed1756a6b531e7e0d2', 'C011'),
('ST056', 'Rafiq Jamil', 'rafiqjamil', '200820e3227815ed1756a6b531e7e0d2', 'C012'),
('ST057', 'Sulaiman Bashir', 'sulaimanbashir', '200820e3227815ed1756a6b531e7e0d2', 'C012'),
('ST058', 'Tamer Fahad', 'tamerfahad', '200820e3227815ed1756a6b531e7e0d2', 'C012'),
('ST059', 'Usayd Tariq', 'usaydtariq', '200820e3227815ed1756a6b531e7e0d2', 'C012'),
